94,76,1
94,76,1
123,75,13
142,95,49
161,105,68
160,138,79
156,164,86
123,186,92
110,190,125
77,190,141
31,170,199
-5,172,125
-47,178,120
-95,154,116
-104,161,144
-134,148,148
-167,154,146
-186,135,153
-183,99,148
-157,62,137
-202,34,127
-215,-8,129
-213,-43,122
-263,-85,146
-252,-130,133
-242,-159,145
-237,-206,145
-223,-231,155
-171,-218,165
-134,-199,123
-79,-189,121
-66,-205,130
-47,-246,147
-12,-249,86
70,-247,137
50,-227,98
84,-227,78
112,-210,63
129,-182,81
173,-202,61
193,-179,53
216,-157,59
218,-124,79
206,-97,113
208,-75,139
214,-46,194
227,-11,179
243,31,204
223,57,189
231,83,163
192,96,163
178,146,180
176,164,147
139,178,146
136,184,188
104,195,206
70,180,217
67,183,244
48,223,260
3,205,238
-33,204,251
-80,224,276
-113,243,251
-156,227,217
-150,203,222
-160,167,214
-171,135,268
-196,131,233
-214,83,258
-215,56,248
-207,9,254
-190,-33,270
-158,-66,291
-186,-95,298
-183,-134,285
-187,-179,256
-152,-198,253
-114,-208,277
-73,-188,258
-49,-195,247
-11,-200,217
32,-191,227
70,-182,243
95,-166,261
120,-171,243
138,-132,238
117,-115,227
167,-89,263
154,-43,269
181,-36,316
164,2,346
154,37,346
157,71,345
148,98,339
125,135,336
96,136,356
65,166,363
34,168,368
1,177,328
-45,181,338
-173,128,363
-176,110,376
-185,73,391
-179,26,401
-176,-21,392
-168,-56,402
-177,-93,380
-148,-98,359
-126,-118,342
-97,-133,346
-71,-160,358
-51,-179,342
-5,-166,322
20,-146,344
50,-143,389
93,-152,387
93,-109,374
98,-71,381
108,-37,388
126,-19,416
146,10,429
129,45,435
152,80,468
167,107,509
132,137,500
100,135,482
68,137,456
21,129,455
-15,126,447
-61,140,447
-93,117,436
-116,126,455
-127,97,472
-151,61,489
-188,70,492
-202,26,515
-216,-3,544
-210,-38,522
-186,-78,494
-187,-108,498
-187,-124,494
-159,-154,488
-99,-145,520
-85,-174,504
-80,-176,485
-30,-174,502
-1,-174,517
31,-165,535
67,-150,518
100,-121,509
138,-58,536
151,-12,547
156,21,577
142,61,567
159,89,585
123,101,568
97,93,571
40,109,552
14,98,553
-20,90,558
-56,93,549
-83,65,565
-113,56,582
-135,-4,584
-139,-71,560
-126,-92,568
-100,-97,561
-68,-126,588
-20,-138,592
18,-142,611
62,-137,623
94,-142,625
121,-116,602
131,-80,608
131,-41,592
105,-5,588
87,30,624
108,61,645
108,84,681
67,93,689
33,100,684
-8,85,661
-31,66,647
-52,20,634
-53,8,658
-61,-31,669
-50,-48,679
-14,-66,682
22,-57,687
53,-36,674
53,74,676
74,89,684
52,52,696
46,11,714
1,32,700
243,-5,725
4,23,741
4,-22,734
24,74,724
-43,74,718
