148,187
196,200
259,215
303,220
356,227
400,240
447,263
496,267
541,280
590,272
638,275
692,278
740,256
794,252
847,259
903,242
958,226
1016,217
1082,214
1139,229
1174,257
1145,305
1120,360
1075,397
1034,443
1002,483
981,532
928,562
882,580
832,597
789,639
741,648
697,632
643,615
595,614
548,635
500,617
471,587
421,599
370,599
327,573
275,553
234,519
192,480
161,435
130,383
102,336
71,295
65,241
98,196
230,218
287,212
337,216
392,214
443,218
498,212
550,203
601,199
662,201
716,190
773,189
832,182
888,172
948,159
1014,145
1079,140
1152,129
1196,110
1193,92
1153,152
1112,204
1060,249
999,272
961,300
917,337
883,375
836,396
779,411
736,422
686,421
636,439
584,445
541,435
492,414
444,391
409,364
364,337
329,336
287,307
245,284
195,310
153,347
116,390
94,433
71,480
103,518
156,501
154,475
193,473
240,445
347,380
350,381
410,449
451,467
474,510
517,525
569,522
602,518
646,542
694,553
740,534
776,497
819,477
878,485
931,470
971,457
1003,429
1050,400
1100,402
1098,378
1117,339
1071,332
1028,324
955,303
925,302
880,294
835,288
787,273
738,256
687,238
638,225
590,205
539,190
487,170
435,149
380,130
331,105
269,82
256,89
226,84
206,122
159,153
113,182
73,232
74,278
114,320
157,357
199,393
232,423
279,443
